"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"Eintracht Frankfurt","Deutsche Bank Park",56500,14500,7.25,12.8,"2020/2021","Niemcy",17,10,7,0,37,20,17,37
"TSG 1899 Hoffenheim","PreZero Arena",30150,12430,4.143,13.7,"2020/2021","Niemcy",17,8,3,6,32,24,8,27
"Borussia Mönchengladbach","Stadion im Borussia-Park",54042,10683,5.342,9.9,"2020/2021","Niemcy",17,8,4,5,32,19,13,28
"VfL Wolfsburg","Volkswagen Arena",28917,9651,3.217,11.1,"2020/2021","Niemcy",17,10,4,3,32,16,16,34
"SV Werder Bremen","Wohninvest-Weserstadion",42100,8500,4.25,10.1,"2020/2021","Niemcy",17,3,5,9,16,28,-12,14
"Hertha BSC","Olympiastadion Berlin",74667,8000,4,5.4,"2020/2021","Niemcy",17,5,5,7,21,26,-5,20
"Bayer 04 Leverkusen","BayArena",30210,6042,6.042,20,"2020/2021","Niemcy",17,8,5,4,34,22,12,29
"FC Augsburg","WWK ARENA",30660,6000,6,19.6,"2020/2021","Niemcy",17,6,4,7,21,25,-4,22
"Arminia Bielefeld","SchücoArena",27332,5460,5.46,20,"2020/2021","Niemcy",17,6,2,9,13,23,-10,20
"1.FSV Mainz 05","Mewa Arena",33305,3403,3.403,10.2,"2020/2021","Niemcy",17,4,4,9,16,26,-10,16
"SC Freiburg","Europa-Park Stadion",34700,3200,3.2,9.2,"2020/2021","Niemcy",17,7,6,4,33,23,10,27
"1.FC Köln","RheinEnergieSTADION",50000,6e+05,300,0.6,"2020/2021","Niemcy",17,3,5,9,20,31,-11,14
"FC Schalke 04","Veltins-Arena",62271,3e+05,300,0.5,"2020/2021","Niemcy",17,3,3,11,14,34,-20,12
"Bayern Monachium","Allianz Arena",75024,250000,250,0.3,"2020/2021","Niemcy",17,13,4,0,64,21,43,43
"Borussia Dortmund","SIGNAL IDUNA PARK",81365,710601,41.8,51.4,"2021/2022","Niemcy",17,13,0,4,52,28,24,39
"Bayern Monachium","Allianz Arena",75024,562048,40.146,53.5,"2021/2022","Niemcy",17,13,2,2,48,15,33,41
"1.FC Köln","RheinEnergieSTADION",50000,543400,31.965,63.9,"2021/2022","Niemcy",17,9,4,4,27,21,6,31
"VfB Stuttgart","MHPArena Stuttgart",60449,462522,28.908,47.8,"2021/2022","Niemcy",17,6,4,7,28,32,-4,22
"Borussia Mönchengladbach","Stadion im Borussia-Park",54042,451160,26.539,49.1,"2021/2022","Niemcy",17,8,4,5,33,27,6,28
"Eintracht Frankfurt","Deutsche Bank Park",56500,447750,26.338,46.6,"2021/2022","Niemcy",17,4,7,6,20,22,-2,19
"Hertha BSC","Olympiastadion Berlin",74667,399503,23.5,31.5,"2021/2022","Niemcy",17,6,3,8,24,33,-9,21
"RasenBallsport Leipzig","Red Bull Arena",47069,376112,28.932,61.5,"2021/2022","Niemcy",17,11,2,4,43,17,26,35
"SC Freiburg","Europa-Park Stadion",34700,315100,18.535,53.4,"2021/2022","Niemcy",17,8,5,4,32,25,7,29
"1.FSV Mainz 05","Mewa Arena",33305,305938,17.996,54,"2021/2022","Niemcy",17,10,5,2,33,11,22,35
"Bayer 04 Leverkusen","BayArena",30210,290460,18.154,60.1,"2021/2022","Niemcy",17,10,2,5,39,23,16,32
"Arminia Bielefeld","SchücoArena",27332,285139,16.773,61.4,"2021/2022","Niemcy",17,2,10,5,15,23,-8,16
"VfL Bochum","Vonovia Ruhrstadion",26000,265507,16.594,63.8,"2021/2022","Niemcy",17,8,4,5,21,17,4,28
"FC Augsburg","WWK ARENA",30660,257402,18.386,60,"2021/2022","Niemcy",17,7,4,6,25,26,-1,25
"1.FC Union Berlin","Stadion An der Alten Försterei",22012,237397,13.965,63.4,"2021/2022","Niemcy",17,10,5,2,25,17,8,35
"VfL Wolfsburg","Volkswagen Arena",28917,204301,12.018,41.6,"2021/2022","Niemcy",17,7,3,7,25,21,4,24
"TSG 1899 Hoffenheim","PreZero Arena",30150,190866,11.929,39.6,"2021/2022","Niemcy",17,8,4,5,34,24,10,28
"SpVgg Greuther Fürth","Sportpark Ronhof | Thomas Sommer",16626,129111,9.932,59.7,"2021/2022","Niemcy",17,3,5,9,15,33,-18,14
"Borussia Dortmund","SIGNAL IDUNA PARK",81365,1380875,81.228,99.8,"2022/2023","Niemcy",17,14,2,1,55,17,38,44
"Bayern Monachium","Allianz Arena",75024,1275096,75.006,100,"2022/2023","Niemcy",17,11,5,1,53,17,36,38
"FC Schalke 04","Veltins-Arena",62271,1039262,61.133,98.2,"2022/2023","Niemcy",17,5,5,7,23,36,-13,20
"Hertha BSC","Olympiastadion Berlin",74667,912087,53.652,71.9,"2022/2023","Niemcy",17,5,6,6,24,27,-3,21
"Borussia Mönchengladbach","Stadion im Borussia-Park",54042,891440,52.438,97,"2022/2023","Niemcy",17,10,3,4,33,18,15,33
"Eintracht Frankfurt","Deutsche Bank Park",56500,850200,50.012,88.5,"2022/2023","Niemcy",17,9,5,3,35,18,17,32
"1.FC Köln","RheinEnergieSTADION",50000,846000,49.765,99.5,"2022/2023","Niemcy",17,6,5,6,28,20,8,23
"VfB Stuttgart","MHPArena Stuttgart",60449,789303,46.43,76.8,"2022/2023","Niemcy",17,5,6,6,23,22,1,21
"RasenBallsport Leipzig","Red Bull Arena",47069,775937,45.643,97,"2022/2023","Niemcy",17,13,2,2,38,18,20,41
"SV Werder Bremen","Wohninvest-Weserstadion",42100,705946,41.526,98.6,"2022/2023","Niemcy",17,5,2,10,26,28,-2,17
"SC Freiburg","Europa-Park Stadion",34700,579900,34.112,98.3,"2022/2023","Niemcy",17,10,4,3,28,13,15,34
"1.FSV Mainz 05","Mewa Arena",33305,493994,29.058,87.3,"2022/2023","Niemcy",17,6,6,5,31,25,6,24
"Bayer 04 Leverkusen","BayArena",30210,486396,28.612,94.7,"2022/2023","Niemcy",17,8,3,6,35,23,12,27
"FC Augsburg","WWK ARENA",30660,476249,28.015,91.4,"2022/2023","Niemcy",17,6,4,7,16,24,-8,22
"VfL Wolfsburg","Volkswagen Arena",28917,431706,25.394,87.8,"2022/2023","Niemcy",17,6,7,4,34,25,9,25
"VfL Bochum","Vonovia Ruhrstadion",26000,430407,25.318,97.4,"2022/2023","Niemcy",17,8,2,7,28,32,-4,26
"TSG 1899 Hoffenheim","PreZero Arena",30150,418933,24.643,81.7,"2022/2023","Niemcy",17,7,2,8,28,29,-1,23
"1.FC Union Berlin","Stadion An der Alten Försterei",22012,372097,21.888,99.4,"2022/2023","Niemcy",17,11,6,0,30,11,19,39
"Borussia Dortmund","SIGNAL IDUNA PARK",81365,569555,81.365,100,"2023/2024","Niemcy",9,5,2,2,16,14,2,17
"Bayern Monachium","Allianz Arena",75024,450000,75,100,"2023/2024","Niemcy",7,6,1,0,30,5,25,19
"Eintracht Frankfurt","Deutsche Bank Park",56500,335100,55.85,98.9,"2023/2024","Niemcy",8,4,3,1,15,8,7,15
"VfB Stuttgart","MHPArena Stuttgart",60449,321500,53.583,88.6,"2023/2024","Niemcy",9,7,1,1,26,7,19,22
"Borussia Mönchengladbach","Stadion im Borussia-Park",54042,306584,51.097,94.6,"2023/2024","Niemcy",8,3,2,3,13,12,1,11
"1.FC Köln","RheinEnergieSTADION",50000,298100,49.683,99.4,"2023/2024","Niemcy",7,1,2,4,6,10,-4,5
"SV Werder Bremen","Wohninvest-Weserstadion",42100,292500,41.786,99.3,"2023/2024","Niemcy",9,4,2,3,15,14,1,14
"RasenBallsport Leipzig","Red Bull Arena",47069,269765,44.961,95.5,"2023/2024","Niemcy",8,6,2,0,24,6,18,20
"SC Freiburg","Europa-Park Stadion",34700,205434,34.239,98.7,"2023/2024","Niemcy",7,4,2,1,13,9,4,14
"Bayer 04 Leverkusen","BayArena",30210,178481,29.747,98.5,"2023/2024","Niemcy",9,8,1,0,29,6,23,25
"FC Augsburg","WWK ARENA",30660,170852,28.475,92.9,"2023/2024","Niemcy",8,3,4,1,16,14,2,13
"VfL Wolfsburg","Volkswagen Arena",28917,162344,27.057,93.6,"2023/2024","Niemcy",8,4,1,3,12,9,3,13
"1.FSV Mainz 05","Mewa Arena",33305,160515,32.103,96.4,"2023/2024","Niemcy",7,1,1,5,5,12,-7,4
"TSG 1899 Hoffenheim","PreZero Arena",30150,155840,25.973,86.2,"2023/2024","Niemcy",8,2,2,4,15,17,-2,8
"1.FC Union Berlin","Stadion An der Alten Försterei",22012,130060,21.677,98.5,"2023/2024","Niemcy",8,3,1,4,10,14,-4,10
"VfL Bochum","Vonovia Ruhrstadion",26000,130000,26,100,"2023/2024","Niemcy",7,2,4,1,12,9,3,10
"SV Darmstadt 98","Merck-Stadion am Böllenfalltor",17810,124670,17.81,100,"2023/2024","Niemcy",8,1,2,5,10,16,-6,5
"1.FC Heidenheim 1846","Voith-Arena",15000,90000,15,100,"2023/2024","Niemcy",8,5,1,2,17,14,3,16
"Lech Poznań","Enea Poznań",41609,339607,22.64,54.4,"2012/2013","Polska",15,7,3,5,24,15,9,24
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,266249,17.75,57.6,"2012/2013","Polska",15,12,2,1,33,8,25,38
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,229517,15.301,35.8,"2012/2013","Polska",15,9,4,2,23,15,8,31
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,208942,13.929,42,"2012/2013","Polska",15,6,3,6,15,14,1,21
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,198094,13.206,30.3,"2012/2013","Polska",15,3,5,7,23,27,-4,14
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,106989,7.133,44.3,"2012/2013","Polska",15,7,2,6,24,18,6,20
"Korona Kielce","Suzuki Arena",15500,103676,6.912,44.6,"2012/2013","Polska",15,9,4,2,24,10,14,31
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,97544,6.503,30.7,"2012/2013","Polska",15,7,2,6,17,17,0,23
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,88754,5.917,59.7,"2012/2013","Polska",15,5,5,5,18,19,-1,20
"Widzew Łódź","Stadion Widzewa",18018,76848,5.123,28.4,"2012/2013","Polska",15,6,4,5,19,16,3,22
"Ruch Chorzów","Stadion Slaski",55211,72545,4.836,8.8,"2012/2013","Polska",15,4,5,6,17,21,-4,17
"Polonia Warszawa","Stadion Polonii Warszawa im. gen. Kazimierza Sosnkowskiego",7152,62663,4.178,58.4,"2012/2013","Polska",15,5,5,5,20,17,3,20
"Jagiellonia Białystok","Stadion Miejski",22432,50149,3.343,14.9,"2012/2013","Polska",15,4,6,5,13,19,-6,18
"Górnik Zabrze","Arena Zabrze",24563,45000,3,12.2,"2012/2013","Polska",15,7,2,6,19,15,4,23
"Podbeskidzie Bielsko-Biała","Stadion Miejski w Bielsku-Białej",14963,44156,2.944,19.7,"2012/2013","Polska",15,2,6,7,21,24,-3,12
"GKS Bełchatów","GIEKSA Arena",5264,29778,1.985,37.7,"2012/2013","Polska",15,4,5,6,12,21,-9,17
"Lech Poznań","Enea Poznań",41609,371931,19.575,47.1,"2013/2014","Polska",19,14,4,1,44,15,29,20
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,323045,19.003,61.7,"2013/2014","Polska",19,15,1,3,45,14,31,15
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,231208,12.845,29.5,"2013/2014","Polska",18,7,7,4,28,22,6,8
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,229546,12.753,38.5,"2013/2014","Polska",18,12,2,4,32,10,22,16
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,199107,10.479,24.5,"2013/2014","Polska",19,8,7,4,24,16,8,14
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,148882,7.836,37,"2013/2014","Polska",19,6,8,5,28,25,3,3
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,142547,8.385,55.8,"2013/2014","Polska",19,6,4,9,23,31,-8,3
"Korona Kielce","Suzuki Arena",15500,126655,6.666,43,"2013/2014","Polska",19,8,6,5,31,31,0,12
"Ruch Chorzów","Stadion Slaski",55211,120100,6.321,11.5,"2013/2014","Polska",19,8,8,3,23,18,5,7
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,107423,5.968,37.1,"2013/2014","Polska",18,6,4,8,24,26,-2,8
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,94500,5.25,53,"2013/2014","Polska",18,5,9,4,20,17,3,7
"Jagiellonia Białystok","Stadion Miejski",22432,89621,4.717,21,"2013/2014","Polska",19,8,5,6,37,28,9,10
"Widzew Łódź","Stadion Widzewa",18018,89283,4.96,27.5,"2013/2014","Polska",18,7,7,4,23,20,3,17
"Zawisza Bydgoszcz","Stadion im. Zdzisława Krzyszkowiaka",20559,86659,5.098,24.8,"2013/2014","Polska",18,8,4,6,28,19,9,7
"Podbeskidzie Bielsko-Biała","Stadion Miejski w Bielsku-Białej",14963,54151,3.008,20.1,"2013/2014","Polska",18,7,8,3,18,10,8,14
"Górnik Zabrze","Arena Zabrze",24563,53700,2.983,12.2,"2013/2014","Polska",18,8,5,5,28,28,0,8
"Lech Poznań","Enea Poznań",41609,361715,20.095,48.3,"2014/2015","Polska",19,12,5,2,39,14,25,14
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,315106,16.585,53.8,"2014/2015","Polska",19,13,3,3,36,16,20,14
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,298857,16.603,38.1,"2014/2015","Polska",18,8,5,5,21,18,3,9
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,219940,12.219,36.9,"2014/2015","Polska",18,7,6,5,26,22,4,6
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,208305,10.963,25.6,"2014/2015","Polska",19,11,6,2,26,12,14,16
"Jagiellonia Białystok","Stadion Miejski",22432,204258,10.75,47.9,"2014/2015","Polska",19,11,4,4,35,24,11,13
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,126645,6.666,44.4,"2014/2015","Polska",19,10,5,4,27,20,7,17
"Korona Kielce","Suzuki Arena",15500,119441,6.286,40.6,"2014/2015","Polska",19,8,6,5,28,28,0,11
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,109923,6.107,28.9,"2014/2015","Polska",18,8,3,7,26,20,6,7
"Ruch Chorzów","Stadion Slaski",55211,102243,5.68,10.3,"2014/2015","Polska",18,7,4,7,26,21,5,9
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,86968,4.577,46.2,"2014/2015","Polska",19,10,3,6,36,26,10,14
"Górnik Łęczna","Arena BOGDANKA",7464,77446,4.303,57.6,"2014/2015","Polska",18,7,7,4,25,18,7,11
"Podbeskidzie Bielsko-Biała","Stadion Miejski w Bielsku-Białej",14963,73880,3.888,26,"2014/2015","Polska",19,7,6,6,25,29,-4,8
"GKS Bełchatów","GIEKSA Arena",5264,54934,3.052,58,"2014/2015","Polska",18,5,6,7,18,24,-6,6
"Górnik Zabrze","Arena Zabrze",24563,54000,3,12.2,"2014/2015","Polska",18,6,7,5,28,32,-4,4
"Zawisza Bydgoszcz","Stadion im. Zdzisława Krzyszkowiaka",20559,49761,2.765,13.5,"2014/2015","Polska",18,6,4,8,20,24,-4,8
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,402818,21.201,68.8,"2015/2016","Polska",19,12,5,2,40,12,28,11
"Lech Poznań","Enea Poznań",41609,301701,16.761,40.3,"2015/2016","Polska",18,7,5,6,25,19,6,5
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,234202,12.326,37.2,"2015/2016","Polska",19,5,10,4,27,21,6,6
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,230613,12.812,29.4,"2015/2016","Polska",18,11,4,3,34,13,21,17
"Jagiellonia Białystok","Stadion Miejski",22432,194308,10.227,45.6,"2015/2016","Polska",19,8,4,7,21,25,-4,11
"Górnik Zabrze","Arena Zabrze",24563,169295,9.405,38.3,"2015/2016","Polska",18,4,9,5,20,22,-2,8
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,157428,8.746,58.2,"2015/2016","Polska",18,10,4,4,39,19,20,12
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,156788,8.71,20.4,"2015/2016","Polska",18,8,6,4,22,18,4,13
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,130103,6.848,32.4,"2015/2016","Polska",19,7,9,3,25,21,4,7
"Korona Kielce","Suzuki Arena",15500,125470,6.604,42.6,"2015/2016","Polska",19,4,7,8,22,31,-9,1
"Ruch Chorzów","Stadion Slaski",55211,122602,7.212,13.1,"2015/2016","Polska",18,6,3,9,20,30,-10,1
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,120769,6.356,64.1,"2015/2016","Polska",19,14,3,2,33,12,21,16
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,112838,6.269,38.9,"2015/2016","Polska",19,9,4,6,33,24,9,9
"Podbeskidzie Bielsko-Biała","Stadion Miejski w Bielsku-Białej",14963,97172,5.114,34.2,"2015/2016","Polska",19,3,8,8,24,30,-6,-2
"Górnik Łęczna","Arena BOGDANKA",7464,76224,4.235,56.7,"2015/2016","Polska",18,7,2,9,24,28,-4,8
"Bruk-Bet Termalica Nieciecza","Stadion Bruk-Bet",4666,58344,3.241,69.5,"2015/2016","Polska",18,5,6,7,22,22,0,5
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,389173,20.483,66.5,"2016/2017","Polska",19,8,8,3,32,15,17,3
"Lech Poznań","Enea Poznań",41609,372995,19.631,47.2,"2016/2017","Polska",19,12,4,3,29,12,17,13
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,329905,17.363,39.8,"2016/2017","Polska",19,15,2,2,44,16,28,21
"Jagiellonia Białystok","Stadion Miejski",22432,256373,13.493,60.2,"2016/2017","Polska",19,11,4,4,36,17,19,8
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,251815,13.99,42.2,"2016/2017","Polska",18,11,3,4,33,18,15,14
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,172312,9.069,21.2,"2016/2017","Polska",19,6,6,7,28,27,1,7
"Arka Gdynia","Stadion GOSiR",15139,146688,7.72,51,"2016/2017","Polska",19,6,5,8,26,27,-1,8
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,139124,8.184,54.5,"2016/2017","Polska",18,7,6,5,28,18,10,12
"Korona Kielce","Suzuki Arena",15500,129824,7.212,46.5,"2016/2017","Polska",18,11,2,5,33,20,13,16
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,119701,6.3,39.1,"2016/2017","Polska",19,6,6,7,28,27,1,5
"Ruch Chorzów","Stadion Slaski",55211,109400,6.435,11.7,"2016/2017","Polska",18,5,4,9,20,27,-7,0
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,104577,5.81,27.5,"2016/2017","Polska",18,8,7,3,35,21,14,10
"Wisła Płock","Orlen Stadion",10978,101391,5.336,48.6,"2016/2017","Polska",19,7,5,7,26,27,-1,7
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,91131,5.063,51.1,"2016/2017","Polska",18,8,5,5,27,26,1,14
"Bruk-Bet Termalica Nieciecza","Stadion Bruk-Bet",4666,66592,3.7,79.3,"2016/2017","Polska",18,6,5,7,18,21,-3,2
"Górnik Łęczna","Arena BOGDANKA",7464,65662,3.648,48.9,"2016/2017","Polska",18,6,3,9,24,26,-2,6
"Lech Poznań","Enea Poznań",41609,393241,20.697,49.7,"2017/2018","Polska",19,12,3,4,37,18,19,39
"Górnik Zabrze","Arena Zabrze",24563,340551,18.92,77,"2017/2018","Polska",18,8,8,2,35,23,12,32
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,334622,17.612,57.2,"2017/2018","Polska",19,14,1,4,33,15,18,43
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,259580,14.421,43.5,"2017/2018","Polska",18,8,4,6,25,18,7,28
"Jagiellonia Białystok","Stadion Miejski",22432,208821,10.991,49,"2017/2018","Polska",19,10,4,5,29,19,10,34
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,204211,10.748,25.1,"2017/2018","Polska",19,11,6,2,30,16,14,39
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,194408,10.8,24.8,"2017/2018","Polska",18,4,7,7,26,32,-6,18
"Arka Gdynia","Stadion GOSiR",15139,154589,8.136,53.7,"2017/2018","Polska",19,8,6,5,27,17,10,30
"Korona Kielce","Suzuki Arena",15500,135364,7.52,48.5,"2017/2018","Polska",18,9,3,6,24,24,0,30
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,124021,6.527,30.8,"2017/2018","Polska",19,7,6,6,28,26,2,27
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,110908,6.162,38.3,"2017/2018","Polska",18,7,6,5,24,18,6,27
"Wisła Płock","Orlen Stadion",10978,95013,5.001,45.6,"2017/2018","Polska",19,10,3,6,30,18,12,33
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,92534,4.87,32.4,"2017/2018","Polska",19,7,8,4,33,33,0,29
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,79518,4.418,44.6,"2017/2018","Polska",18,4,7,7,15,18,-3,19
"Bruk-Bet Termalica Nieciecza","Stadion Bruk-Bet",4666,49981,2.777,59.5,"2017/2018","Polska",18,7,4,7,24,27,-3,25
"Sandecja Nowy Sącz","Stadion Garbarnii",0,31973,1.776,0,"2017/2018","Polska",18,4,8,6,18,21,-3,20
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,375438,19.76,64.2,"2018/2019","Polska",19,10,5,4,31,19,12,35
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,330183,17.378,52.5,"2018/2019","Polska",19,8,6,5,38,28,10,30
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,280172,14.746,33.8,"2018/2019","Polska",19,12,5,2,33,16,17,41
"Górnik Zabrze","Arena Zabrze",24563,250908,13.206,53.8,"2018/2019","Polska",19,5,6,8,23,25,-2,21
"Lech Poznań","Enea Poznań",41609,191252,11.953,28.7,"2018/2019","Polska",18,11,2,5,28,21,7,35
"Jagiellonia Białystok","Stadion Miejski",22432,170241,9.458,42.2,"2018/2019","Polska",18,9,4,5,30,30,0,31
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,163471,9.082,21.2,"2018/2019","Polska",18,7,3,8,22,17,5,24
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,132199,6.958,46.3,"2018/2019","Polska",19,11,4,4,23,15,8,37
"Arka Gdynia","Stadion GOSiR",15139,126272,7.015,46.3,"2018/2019","Polska",18,6,5,7,27,26,1,23
"Korona Kielce","Suzuki Arena",15500,126212,6.643,42.9,"2018/2019","Polska",19,6,7,6,21,25,-4,25
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,116333,6.463,30.5,"2018/2019","Polska",18,8,6,4,30,22,8,30
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,94573,4.978,50.2,"2018/2019","Polska",19,15,3,1,35,10,25,48
"Miedź Legnica","Stadion im. Orła Białego",6194,94016,4.948,79.9,"2018/2019","Polska",19,7,4,8,22,35,-13,25
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,87618,4.868,30.2,"2018/2019","Polska",18,7,4,7,28,23,5,25
"Wisła Płock","Orlen Stadion",10978,78008,4.334,39.5,"2018/2019","Polska",18,5,5,8,19,25,-6,20
"Zagłębie Sosnowiec","ArcelorMittal Park",11600,60398,3.355,28.9,"2018/2019","Polska",18,6,3,9,34,42,-8,21
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,283182,15.732,51.1,"2019/2020","Polska",19,13,2,4,48,16,32,41
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,222441,13.903,42,"2019/2020","Polska",18,8,3,7,25,18,7,27
"Lech Poznań","Enea Poznań",41609,222429,13.084,31.5,"2019/2020","Polska",19,11,4,4,40,14,26,37
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,197946,12.372,28.9,"2019/2020","Polska",19,9,8,2,37,28,9,35
"Górnik Zabrze","Arena Zabrze",24563,187703,11.041,45,"2019/2020","Polska",19,11,5,3,36,20,16,38
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,153620,9.601,22,"2019/2020","Polska",18,7,5,6,20,22,-2,26
"Jagiellonia Białystok","Stadion Miejski",22432,129801,8.113,36.2,"2019/2020","Polska",18,8,5,5,25,18,7,29
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,126804,7.925,52.8,"2019/2020","Polska",18,10,2,6,26,16,10,32
"Arka Gdynia","Stadion GOSiR",15139,96422,6.026,39.8,"2019/2020","Polska",18,6,7,5,21,22,-1,25
"Korona Kielce","Suzuki Arena",15500,72742,4.546,29.3,"2019/2020","Polska",18,6,3,9,14,17,-3,21
"ŁKS Łódź","Stadion Miejski w Łodzi im. Władysława Króla",18029,69154,4.61,25.6,"2019/2020","Polska",18,5,3,10,21,29,-8,18
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,63195,3.717,37.5,"2019/2020","Polska",19,12,4,3,25,12,13,40
"Wisła Płock","Orlen Stadion",10978,61538,3.62,33,"2019/2020","Polska",19,9,4,6,27,23,4,31
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,56405,3.525,21.9,"2019/2020","Polska",19,9,6,4,36,24,12,33
"Pogoń Szczecin","Stadion Miejski im. Floriana Krygiera",21163,46340,3.31,15.6,"2019/2020","Polska",18,7,5,6,18,17,1,26
"Raków Częstochowa","Miejski Stadion Piłkarski Raków",5500,40630,2.539,46.2,"2019/2020","Polska",19,11,3,5,30,22,8,36
"Śląsk Wrocław","Tarczyński Arena Wrocław",42771,33685,8.421,19.7,"2020/2021","Polska",15,7,7,1,21,13,8,28
"Lech Poznań","Enea Poznań",41609,30662,10.221,24.6,"2020/2021","Polska",15,4,7,4,19,17,2,19
"Górnik Zabrze","Arena Zabrze",24563,30130,10.043,40.9,"2020/2021","Polska",15,6,3,6,22,20,2,21
"Legia Warszawa","Stadion Miejski im. Marszałka Józefa Piłsudskiego",30805,27872,9.291,30.2,"2020/2021","Polska",15,9,3,3,29,19,10,30
"Jagiellonia Białystok","Stadion Miejski",22432,20588,5.147,22.9,"2020/2021","Polska",15,6,5,4,23,19,4,23
"Cracovia","Stadion Cracovii im. Józefa Piłsudskiego",15016,18289,4.572,30.5,"2020/2021","Polska",15,6,5,4,18,18,0,18
"Lechia Gdańsk","Polsat Plus Arena Gdańsk",43615,14808,4.936,11.3,"2020/2021","Polska",15,6,3,6,23,18,5,21
"Wisła Kraków","Stadion Miejski im. Henryka Reymana",33130,12051,6.026,18.2,"2020/2021","Polska",15,4,2,9,19,24,-5,14
"Zagłębie Lubin","KGHM Zagłębie Arena",16100,11869,2.967,18.4,"2020/2021","Polska",15,7,5,3,24,19,5,26
"Podbeskidzie Bielsko-Biała","Stadion Miejski w Bielsku-Białej",14963,11692,3.897,26.1,"2020/2021","Polska",15,6,4,5,17,23,-6,22
"Piast Gliwice","Stadion Miejski w Gliwicach",9913,10806,2.702,27.3,"2020/2021","Polska",15,6,3,6,18,15,3,21
"Stal Mielec","Stadion MOSiR w Mielcu",6864,6134,3.067,44.7,"2020/2021","Polska",15,4,5,6,12,20,-8,17
