"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,762213,40.116,81.5,"2016/2017","Brazylia",19,12,5,2,32,15,17,41
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,682834,35.939,49.9,"2016/2017","Brazylia",19,9,8,2,29,18,11,35
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,567738,29.881,68.4,"2016/2017","Brazylia",19,12,3,4,35,16,19,39
"Esporte Clube Bahia","Arena Fonte Nova",47364,411501,21.658,45.7,"2016/2017","Brazylia",19,10,4,5,34,21,13,34
"Grêmio Porto Alegre","Arena do Grêmio",60540,401206,21.116,34.9,"2016/2017","Brazylia",19,10,4,5,26,13,13,34
"Cruzeiro Belo Horizonte","Estádio Governador Magalhães Pinto",61927,315967,16.63,26.9,"2016/2017","Brazylia",19,9,7,3,26,17,9,34
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,314829,16.57,21,"2016/2017","Brazylia",19,10,6,3,32,13,19,36
"Atlético Mineiro","Arena MRV",46000,302656,15.929,34.6,"2016/2017","Brazylia",19,7,4,8,27,27,0,25
"Sport Club do Recife","Estádio Adelmar da Costa Carvalho",35000,299616,15.769,45.1,"2016/2017","Brazylia",19,7,7,5,27,21,6,28
"Coritiba FC","Estádio Major Antônio Couto Pereira",40502,290811,15.306,37.8,"2016/2017","Brazylia",19,7,5,7,21,18,3,26
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,284051,14.95,18.2,"2016/2017","Brazylia",19,7,6,6,27,24,3,27
"Clube Atlético Paranaense","Ligga Arena",42372,282114,14.848,35,"2016/2017","Brazylia",19,8,5,6,29,20,9,29
"Clube de Regatas Vasco da Gama","Estádio São Januário",24584,261863,16.366,66.6,"2016/2017","Brazylia",19,8,7,4,21,21,0,31
"Santos FC","Estádio Urbano Caldeira",20120,236583,12.452,61.9,"2016/2017","Brazylia",19,12,4,3,25,12,13,40
"Botafogo de Futebol e Regatas","Estádio Olímpico Nilton Santos",46931,220811,11.622,24.8,"2016/2017","Brazylia",19,9,3,7,30,25,5,30
"Esporte Clube Vitória","Estádio Manoel Barradas",30618,216246,11.381,37.2,"2016/2017","Brazylia",19,3,5,11,22,31,-9,14
"Associação Chapecoense de Futebol","Arena Condá",22600,193088,10.163,45,"2016/2017","Brazylia",19,9,3,7,24,21,3,30
"Avaí FC","Estádio Aderbal Ramos da Silva",17800,149550,7.871,44.2,"2016/2017","Brazylia",19,5,9,5,15,20,-5,24
"Associação Atlética Ponte Preta","Estádio Moisés Lucarelli",19728,125318,6.596,33.4,"2016/2017","Brazylia",19,9,3,7,26,21,5,30
"Atlético Clube Goianiense","Estádio Antonio Accioly",13000,111326,5.859,45.1,"2016/2017","Brazylia",19,4,5,10,18,23,-5,17
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,966575,50.872,64.5,"2017/2018","Brazylia",19,14,2,3,30,8,22,44
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,652393,34.336,47.7,"2017/2018","Brazylia",19,10,8,1,25,13,12,38
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,626069,32.951,75.4,"2017/2018","Brazylia",19,16,2,1,42,13,29,50
"Internacional Porto Alegre","Estádio Beira-Rio",50848,604543,31.818,62.6,"2017/2018","Brazylia",19,14,4,1,32,10,22,46
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,598893,31.521,64.1,"2017/2018","Brazylia",19,9,8,2,19,12,7,35
"Ceará Sporting Club","Estádio Governador Plácido Castelo",60326,543049,28.582,47.4,"2017/2018","Brazylia",19,7,8,4,18,16,2,29
"Grêmio Porto Alegre","Arena do Grêmio",60540,456000,24,39.6,"2017/2018","Brazylia",19,12,5,2,36,14,22,41
"Esporte Clube Bahia","Arena Fonte Nova",47364,368899,19.416,41,"2017/2018","Brazylia",19,10,7,2,27,13,14,37
"Cruzeiro Belo Horizonte","Estádio Governador Magalhães Pinto",61927,355581,18.715,30.2,"2017/2018","Brazylia",19,11,4,4,25,14,11,37
"Atlético Mineiro","Arena MRV",46000,353993,18.631,40.5,"2017/2018","Brazylia",19,12,4,3,31,15,16,40
"Sport Club do Recife","Estádio Adelmar da Costa Carvalho",35000,317635,16.718,47.8,"2017/2018","Brazylia",19,8,6,5,19,17,2,30
"Clube de Regatas Vasco da Gama","Estádio São Januário",24584,292290,15.384,62.6,"2017/2018","Brazylia",19,9,5,5,29,24,5,32
